raw_smiles,is_valid,canonical_smiles,isomeric_smiles,failure_reasons,chemically_sane,sanity_reasons,formal_charge,heavy_atoms,is_neutral,is_single_component,has_LA,has_LB,LA_types,LB_types,excluded_LB_types,negative_flags,flp_tier,min_LA_LB_bonds,is_strict_flp_like,review_reason,review_id,decision,in_old_train
Cc1cc(C)c(BC=C(P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)[Si](C)(C)C)c(C)c1,True,Cc1cc(C)c(BC=C(P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)[Si](C)(C)C)c(C)c1,Cc1cc(C)c(BC=C(P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)[Si](C)(C)C)c(C)c1,[],True,[],0,35,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R001,keep_reference,False
C[Si](C)(C)C(=CBc1ccccc1)P(c1ccccc1)c1ccccc1,True,C[Si](C)(C)C(=CBc1ccccc1)P(c1ccccc1)c1ccccc1,C[Si](C)(C)C(=CBc1ccccc1)P(c1ccccc1)c1ccccc1,[],True,[],0,26,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R002,keep_reference,False
Bc1ccccc1N1C(C)(C)CCCC1(C)C,True,Bc1ccccc1N1C(C)(C)CCCC1(C)C,Bc1ccccc1N1C(C)(C)CCCC1(C)C,[],True,[],0,17,True,True,False,True,[],['LB_amine'],[],[],LB_only,,False,no_LA,R003,keep_reference,True
CC1(C)CCCC(C)(C)N1c1ccccc1BCl,True,CC1(C)CCCC(C)(C)N1c1ccccc1BCl,CC1(C)CCCC(C)(C)N1c1ccccc1BCl,[],True,[],0,18,True,True,False,True,[],['LB_amine'],[],[],LB_only,,False,no_LA,R004,keep_reference,True
Bc1ccccc1N(C)C,True,Bc1ccccc1N(C)C,Bc1ccccc1N(C)C,[],True,[],0,10,True,True,False,True,[],['LB_amine'],[],[],LB_only,,False,no_LA,R005,keep_reference,True
CCC[CH2][Al]([CH2]CCC)[C](=CN1CCN(C)CC1)[Si](C)(C)C,True,CCC[CH2][Al]([CH2]CCC)[C](=CN1CCN(C)CC1)[Si](C)(C)C,CCC[CH2][Al]([CH2]CCC)[C](=CN1CCN(C)CC1)[Si](C)(C)C,[],True,[],0,22,True,True,False,True,[],['LB_amine'],[],[],LB_only,,False,no_LA,R006,keep_reference,False
CC(C)(C)C=[C](PC([Si](C)(C)C)[Si](C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,True,CC(C)(C)C=[C](PC([Si](C)(C)C)[Si](C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,CC(C)(C)C=[C](PC([Si](C)(C)C)[Si](C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,[],True,[],0,35,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R007,discard,False
Cc1cc(C)c(P[C](=CC(C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C)c(C)c1,True,Cc1cc(C)c(P[C](=CC(C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C)c(C)c1,Cc1cc(C)c(P[C](=CC(C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C)c(C)c1,[],True,[],0,35,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R008,discard,False
CC(C)(C)C=[C](Pc1ccccc1)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,True,CC(C)(C)C=[C](Pc1ccccc1)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,CC(C)(C)C=[C](Pc1ccccc1)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,[],True,[],0,32,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R009,keep_reference,False
C[CH2][Al]([CH2]C)[C](=CC(C)(C)C)P(CC)c1ccccc1,True,C[CH2][Al]([CH2]C)[C](=CC(C)(C)C)P(CC)c1ccccc1,C[CH2][Al]([CH2]C)[C](=CC(C)(C)C)P(CC)c1ccccc1,[],True,[],0,20,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R010,keep_reference,False
C[CH2][Al]([CH2]C)[C](=CC(C)(C)C)P(CC)c1c(C)cc(C)cc1C,True,C[CH2][Al]([CH2]C)[C](=CC(C)(C)C)P(CC)c1c(C)cc(C)cc1C,C[CH2][Al]([CH2]C)[C](=CC(C)(C)C)P(CC)c1c(C)cc(C)cc1C,[],True,[],0,23,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R011,keep_reference,False
