blind_id,canonical_smiles,decision,comment
B001,Cc1cc(C)c(P(OB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,reject,
B002,Clc1c(Cl)c(Cl)c(B(OP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,reject,
B003,Cc1ccc(P(c2ccccc2)c2ccccc2B2Oc3ccccc3O2)c(C)c1,accept,
B004,CC(C)(C)P(C[Si](c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,reject,
B005,CN(CCP(c1ccccc1)c1ccccc1)CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,accept,
B006,Cc1cc(C)c(-c2cc(C)cc(C)c2P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(Cl)c(Cl)c(C)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,accept,
B007,Cc1cc(C)c(P[C](=CC(C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C)c(C)c1,accept,
B008,CC(C)N(B(N(C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)C(C)C,accept,
B009,Cc1cc(C)c(P2CC3CCCC2C3B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,accept,
B010,Bc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,reject,
B011,COB(OC)c1ccccc1P(C1CCCCC1)C(C)(C)C,accept,
B012,Cc1cc(C)c(P(OB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,reject,
B013,C1CCC(B(C2CCCCC2)N2CCCN3CCCN=C32)CC1,accept,
B014,COB(OC)c1ccccc1P(c1cc(C)c(C)cc1C)c1c(C)cc(C)cc1C,accept,
B015,Fc1c(F)c(F)c(B(CCP(CCB(CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,accept,
B016,CC(C)OP(=O)(C=[C](c1ccccc1)[Ge]([c]1ccccc1)([c]1ccccc1)[c]1ccccc1)OC(C)C,accept,
B017,CC1(C)B(c2ccccc2P(C2CCCCC2)C2CCCCC2)C(C)(C)C1(C)C,accept,
B018,CCN(CC)C(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1ccccc1)c1c(C)cc(C)cc1C,accept,
B019,Clc1c(Cl)c(Cl)c(B(CP(CCP(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,accept,
B020,CC1(C)CC(N2CCCCC2)C1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,accept,
B021,CC(c1ccc(Br)cc1)(c1ccn(C(C)(C)C)c1)c1ccn(C(C)(C)C)c1,reject,
B022,Cc1ccc(SC(=CC(C)(C)C)B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)cc1,reject,
B023,CC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)=C(CP(C(C)(C)C)C(C)(C)C)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,accept,
B024,CCN(CC)Cc1ccccc1B(Cl)Cl,accept,
B025,Fc1c(F)c(F)c(B(c2ccccc2P(c2ccccc2)c2cccc3c2C2=CC=CC3=CC=C2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,accept,
B026,Cc1ccc(SC(=CC(C)(C)C)B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,reject,
B027,Cc1cc(C)c(P(c2ccccc2)c2ccccc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,accept,
B028,CC1(C)COCC(C)(C)N1Cc1ccccc1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Br)c1Br,accept,
B029,Fc1c(F)c(F)c(B(OP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,reject,
B030,Cc1cc(C)c(P(c2ccccc2B(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,accept,
B031,Cc1cc(C)c(B(c2ccc(CC(C)C)cc2P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,accept,
B032,Cc1ccc(P(c2ccc(C)cc2)c2c(-c3ccccc3)ccc(-c3ccccc3)c2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)cc1,accept,
B033,Cc1ccc(B(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)c(C)c1,accept,
B034,CC(C)(C)P(C[Si](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,accept,
B035,C[Si](C)(Cl)N1CCCN2CCCN=C21,reject,
B036,CB1N2C(=CN3CCC(C)(C)N=C32)CCC1(C)C,accept,
B037,Bc1c(F)c(F)c(F)c(F)c1F,reject,
B038,CCC1(CC)CCC(CC)(CC)N1Cc1ccccc1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,accept,
B039,CC(C)(C)P(C[Si](F)(F)F)C(C)(C)C,reject,
B040,CC(C)(C)P(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,accept,
B041,Fc1c(F)c(F)c(B(CC(c2ccccc2)N2CCCCC2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F,accept,
B042,CC(C)(C)C=[C](PC([Si](C)(C)C)[Si](C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,accept,
B043,C1CC2CCCC(C1)B2N1CCCN2CCCN=C21,accept,
B044,CC(C)(C)P(C[Si](Cl)(Cl)Cl)C(C)(C)C,reject,
B045,Cc1cc(C)c(P(c2c(C)cc(C)c(C)c2C)C2C3CCC(C3)C2B(c2c(C)cccc2C)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,accept,
